"sep=	"
Shimmer_6815_Timestamp_Unix_CAL	Shimmer_6815_PPG_A13_CAL	
ms	mV	
1.7687851819732666E12	0.0	
1.768785181981079E12	0.0	
1.7687851819888916E12	0.0	
1.768785181996704E12	0.0	
1.7687851820045166E12	0.0	
1.768785182012329E12	0.0	
1.7687851820201416E12	0.0	
1.768785182027954E12	0.0	
1.7687851820357666E12	0.0	
1.768785182043579E12	0.0	
1.7687851820513916E12	0.0	
1.768785182059204E12	0.0	
1.7687851820670166E12	0.0	
1.768785182074829E12	0.0	
1.7687851820826416E12	0.0	
1.768785182090454E12	0.0	
1.7687851820982666E12	0.0	
1.768785182106079E12	0.0	
1.7687851821138916E12	0.0	
1.768785182121704E12	0.0	
1.7687851821295166E12	0.0	
1.768785182137329E12	0.0	
1.7687851821451416E12	0.0	
1.768785182152954E12	0.0	
1.7687851821607666E12	0.0	
1.768785182168579E12	0.0	
1.7687851821763916E12	0.0	
1.768785182184204E12	0.0	
1.7687851821920166E12	0.0	
1.768785182199829E12	0.0	
1.7687851822076416E12	0.0	
1.768785182215454E12	0.0	
1.7687851822232666E12	0.0	
1.768785182231079E12	0.0	
1.7687851822388916E12	0.0	
1.768785182246704E12	0.0	
1.7687851822545166E12	0.0	
1.768785182262329E12	0.0	
1.7687851822701416E12	0.0	
1.768785182277954E12	0.0	
1.7687851822857666E12	0.0	
1.768785182293579E12	0.0	
1.7687851823013916E12	0.0	
1.768785182309204E12	0.0	
1.7687851823170166E12	0.0	
1.768785182324829E12	0.0	
1.7687851823326416E12	0.0	
1.768785182340454E12	0.0	
1.7687851823482666E12	0.0	
1.768785182356079E12	0.0	
1.7687851823638916E12	0.0	
1.768785182371704E12	0.0	
1.7687851823795166E12	0.0	
1.768785182387329E12	0.0	
1.7687851823951416E12	0.0	
1.768785182402954E12	0.0	
1.7687851824107666E12	0.0	
1.768785182418579E12	0.0	
1.7687851824263916E12	0.0	
1.768785182434204E12	0.0	
1.7687851824420166E12	0.0	
1.768785182449829E12	0.0	
1.7687851824576416E12	0.0	
1.768785182465454E12	0.0	
1.7687851824732666E12	0.0	
1.768785182481079E12	0.0	
1.7687851824888916E12	0.0	
1.768785182496704E12	0.0	
1.7687851825045166E12	0.0	
1.768785182512329E12	0.0	
1.7687851825201416E12	0.0	
1.768785182527954E12	0.0	
1.7687851825357666E12	0.0	
1.768785182543579E12	0.0	
1.7687851825513916E12	0.0	
1.768785182559204E12	0.0	
1.7687851825670166E12	0.0	
1.768785182574829E12	0.0	
1.7687851825826416E12	0.0	
1.768785182590454E12	0.0	
1.7687851825982666E12	0.0	
1.768785182606079E12	0.0	
1.7687851826138916E12	0.0	
1.768785182621704E12	0.0	
1.7687851826295166E12	0.0	
1.768785182637329E12	0.0	
1.7687851826451416E12	0.0	
1.768785182652954E12	0.0	
1.7687851826607666E12	0.0	
1.768785182668579E12	0.0	
1.7687851826763916E12	0.0	
1.768785182684204E12	0.0	
1.7687851826920166E12	0.0	
1.768785182699829E12	0.0	
1.7687851827076416E12	0.0	
1.768785182715454E12	0.0	
