event,start_time_utc,end_time_utc,start_epoch,end_epoch,duration_sec
sync_start,2026-01-19T01:39:53.229360+00:00,2026-01-19T01:39:53.229360+00:00,1768786793.22936,1768786793.22936,0.0
inhale,2026-01-19T01:39:55.233795+00:00,2026-01-19T01:39:56.187278+00:00,1768786795.233795,1768786796.187278,0.953483
inhale,2026-01-19T01:39:58.462247+00:00,2026-01-19T01:40:00.203385+00:00,1768786798.462247,1768786800.203385,1.741138
inhale,2026-01-19T01:40:02.597291+00:00,2026-01-19T01:40:04.406700+00:00,1768786802.597291,1768786804.4067,1.809409
inhale,2026-01-19T01:40:07.190082+00:00,2026-01-19T01:40:08.992766+00:00,1768786807.190082,1768786808.992766,1.802684
inhale,2026-01-19T01:40:11.439580+00:00,2026-01-19T01:40:13.230753+00:00,1768786811.43958,1768786813.230753,1.791173
inhale,2026-01-19T01:40:15.594173+00:00,2026-01-19T01:40:17.441490+00:00,1768786815.594173,1768786817.44149,1.847317
inhale,2026-01-19T01:40:19.980288+00:00,2026-01-19T01:40:22.058437+00:00,1768786819.980288,1768786822.058437,2.078149
inhale,2026-01-19T01:40:24.789909+00:00,2026-01-19T01:40:26.666877+00:00,1768786824.789909,1768786826.666877,1.876968
inhale,2026-01-19T01:40:29.057393+00:00,2026-01-19T01:40:31.387855+00:00,1768786829.057393,1768786831.387855,2.330462
inhale,2026-01-19T01:40:33.840646+00:00,2026-01-19T01:40:35.955940+00:00,1768786833.840646,1768786835.95594,2.115294
inhale,2026-01-19T01:40:38.854572+00:00,2026-01-19T01:40:41.086589+00:00,1768786838.854572,1768786841.086589,2.232017
inhale,2026-01-19T01:40:43.728665+00:00,2026-01-19T01:40:45.586415+00:00,1768786843.728665,1768786845.586415,1.85775
inhale,2026-01-19T01:40:48.589871+00:00,2026-01-19T01:40:50.498550+00:00,1768786848.589871,1768786850.49855,1.908679
inhale,2026-01-19T01:40:53.496589+00:00,2026-01-19T01:40:55.582164+00:00,1768786853.496589,1768786855.582164,2.085575
inhale,2026-01-19T01:40:58.345522+00:00,2026-01-19T01:41:00.515310+00:00,1768786858.345522,1768786860.51531,2.169788
inhale,2026-01-19T01:41:03.393047+00:00,2026-01-19T01:41:05.640636+00:00,1768786863.393047,1768786865.640636,2.247589
inhale,2026-01-19T01:41:08.500853+00:00,2026-01-19T01:41:10.758276+00:00,1768786868.500853,1768786870.758276,2.257423
inhale,2026-01-19T01:41:13.357589+00:00,2026-01-19T01:41:15.783613+00:00,1768786873.357589,1768786875.783613,2.426024
inhale,2026-01-19T01:41:18.427632+00:00,2026-01-19T01:41:20.763379+00:00,1768786878.427632,1768786880.763379,2.335747
inhale,2026-01-19T01:41:23.142905+00:00,2026-01-19T01:41:25.563852+00:00,1768786883.142905,1768786885.563852,2.420947
inhale,2026-01-19T01:41:28.208930+00:00,2026-01-19T01:41:30.647743+00:00,1768786888.20893,1768786890.647743,2.438813
inhale,2026-01-19T01:41:33.650281+00:00,2026-01-19T01:41:36.208235+00:00,1768786893.650281,1768786896.208235,2.557954
inhale,2026-01-19T01:41:39.172473+00:00,2026-01-19T01:41:41.492010+00:00,1768786899.172473,1768786901.49201,2.319537
inhale,2026-01-19T01:41:44.059499+00:00,2026-01-19T01:41:46.681103+00:00,1768786904.059499,1768786906.681103,2.621604
inhale,2026-01-19T01:41:49.880343+00:00,2026-01-19T01:41:52.251849+00:00,1768786909.880343,1768786912.251849,2.371506
inhale,2026-01-19T01:41:56.156713+00:00,2026-01-19T01:41:58.067104+00:00,1768786916.156713,1768786918.067104,1.910391
